cruise,st,depth_m,substrate,method,repl,silver.grain_um2/h
MOBY,M2,100,Met,MAR,A,0.118884769
MOBY,M2,100,Met,MAR,A,0.140500182
MOBY,M2,100,Met,MAR,A,1.124001456
MOBY,M2,100,Met,MAR,A,0.154009815
MOBY,M2,100,Met,MAR,A,0.152658852
MOBY,M2,100,Met,MAR,A,0.181029081
MOBY,M2,100,Met,MAR,A,0.089163577
MOBY,M2,100,Met,MAR,A,0.022966376
MOBY,M2,100,Met,MAR,A,0.247226282
MOBY,M2,100,Met,MAR,A,0.089163577
MOBY,M2,100,Met,MAR,A,0.19318775
MOBY,M2,100,Met,MAR,A,1.1996554
MOBY,M2,100,Met,MAR,A,0.072952018
MOBY,M2,100,Met,MAR,A,0.040528899
MOBY,M2,100,Met,MAR,A,0.214803163
MOBY,M2,100,Met,MAR,A,0.075653944
MOBY,M2,100,Met,MAR,A,0.356654308
MOBY,M2,100,Met,MAR,A,0.055389495
MOBY,M2,100,Met,MAR,A,0.206697383
MOBY,M2,100,Met,MAR,A,0.632250819
MOBY,M2,100,Met,MAR,A,0.036476009
MOBY,M2,100,Met,MAR,A,0.140500182
MOBY,M2,100,Met,MAR,A,0.054038532
MOBY,M2,100,Met,MAR,A,0.353952382
MOBY,M2,100,Met,MAR,A,0.159413668
MOBY,M2,100,Met,MAR,A,0.186432934
MOBY,M2,100,Met,MAR,A,0.345846602
MOBY,M2,100,Met,MAR,A,0.059442385
MOBY,M2,100,Met,MAR,A,0.105375136
MOBY,M2,100,Met,MAR,A,0.117533806
MOBY,M2,100,Met,MAR,A,0.140500182
MOBY,M2,100,Met,MAR,A,0.141851145
MOBY,M2,100,Met,MAR,A,0.113480916
MOBY,M2,100,Met,MAR,A,0.210750273
MOBY,M2,100,Met,MAR,A,0.162115595
MOBY,M2,100,Met,MAR,A,0.203995457
MOBY,M2,100,Met,MAR,A,0.279649401
MOBY,M2,100,Met,MAR,A,0.068899128
MOBY,M2,100,Met,MAR,A,0.325582152
MOBY,M2,100,Met,MAR,A,0.087812614
MOBY,M2,100,Met,MAR,A,0.179678117
MOBY,M2,100,Met,MAR,A,0.087812614
MOBY,M2,100,Met,MAR,A,0.162115595
MOBY,M2,100,Met,MAR,A,0.182380044
MOBY,M2,100,Met,MAR,A,0.403938023
MOBY,M2,100,Met,MAR,A,0.062144311
MOBY,M2,100,Met,MAR,A,0.022966376
MOBY,M2,100,Met,MAR,A,0.167519448
MOBY,M2,100,Met,MAR,A,0.332336969
MOBY,M2,100,Met,MAR,A,0.144553072
MOBY,M2,100,Met,MAR,A,0.356654308
MOBY,M2,100,Met,MAR,A,0.182380044
MOBY,M2,100,Met,MAR,A,0.237769539
MOBY,M2,100,Met,MAR,A,0.031072156
MOBY,M2,100,Met,MAR,A,0.426904399
MOBY,M2,100,Met,MAR,A,0.309370593
MOBY,M2,100,Met,MAR,A,0.268841694
MOBY,M2,100,Met,MAR,A,0.118884769
MOBY,M2,100,Met,MAR,A,0.037826972
MOBY,M2,100,Met,MAR,A,0.024317339
MOBY,M2,100,Met,MAR,A,0.170221374
MOBY,M2,100,Met,MAR,A,0.054038532
MOBY,M2,100,Met,MAR,A,0.11077899
MOBY,M2,100,Met,MAR,A,0.087812614
MOBY,M2,100,Met,MAR,A,0.131043439
MOBY,M2,100,Met,MAR,A,0.049985642
MOBY,M2,100,Met,MAR,A,0.079706834
MOBY,M2,100,Met,MAR,A,0.154009815
MOBY,M2,100,Met,MAR,A,0.31207252
MOBY,M2,100,Met,MAR,A,0.108077063
MOBY,M2,100,Met,MAR,A,0.045932752
MOBY,M2,100,Met,MAR,A,0.029721192
MOBY,M2,100,Met,MAR,A,0.072952018
MOBY,M2,100,Met,MAR,A,0.108077063
MOBY,M2,100,Met,MAR,A,0.486346784
MOBY,M2,100,Met,MAR,A,0.01215867
MOBY,M2,100,Met,MAR,A,0.181029081
MOBY,M2,100,Met,MAR,A,0.156711741
MOBY,M2,100,Met,MAR,A,0.067548164
MOBY,M2,100,Met,MAR,A,0.055389495
MOBY,M2,100,Met,MAR,A,0.056740458
MOBY,M2,100,Met,MAR,A,0.039177935
MOBY,M2,100,Met,MAR,A,0.024317339
MOBY,M2,100,Met,MAR,A,0.066197201
