cruise,st,depth_m,substrate,method,repl,intensity_MGV.um2/h
MOBY,M2,500,HPG,BONCAT,A,1.420686785
MOBY,M2,500,HPG,BONCAT,A,2.134956847
MOBY,M2,500,HPG,BONCAT,A,1.809412676
MOBY,M2,500,HPG,BONCAT,A,1.151950596
MOBY,M2,500,HPG,BONCAT,A,1.222622237
MOBY,M2,500,HPG,BONCAT,A,3.701599263
MOBY,M2,500,HPG,BONCAT,A,0.614894401
MOBY,M2,500,HPG,BONCAT,A,1.530751359
MOBY,M2,500,HPG,BONCAT,A,1.327427974
MOBY,M2,500,HPG,BONCAT,A,1.22674283
MOBY,M2,500,HPG,BONCAT,A,3.421969926
MOBY,M2,500,HPG,BONCAT,A,1.293294076
MOBY,M2,500,HPG,BONCAT,A,0.510616179
MOBY,M2,500,HPG,BONCAT,A,0.312612107
MOBY,M2,500,HPG,BONCAT,A,8.44014203
MOBY,M2,500,HPG,BONCAT,A,4.433593899
MOBY,M2,500,HPG,BONCAT,A,4.04986167
MOBY,M2,500,HPG,BONCAT,A,5.854356412
MOBY,M2,500,HPG,BONCAT,A,1.215613462
MOBY,M2,500,HPG,BONCAT,A,1.455547468
MOBY,M2,500,HPG,BONCAT,A,2.342618368
MOBY,M2,500,HPG,BONCAT,A,11.49489333
MOBY,M2,500,HPG,BONCAT,A,0.607157586
MOBY,M2,500,HPG,BONCAT,A,6.09494698
MOBY,M2,500,HPG,BONCAT,A,2.9884102
MOBY,M2,500,HPG,BONCAT,A,3.665922278
MOBY,M2,500,HPG,BONCAT,A,6.837666123
MOBY,M2,500,HPG,BONCAT,A,3.71004124
MOBY,M2,500,HPG,BONCAT,A,1.764691314
MOBY,M2,500,HPG,BONCAT,A,1.547712735
MOBY,M2,500,HPG,BONCAT,A,0.579971425
MOBY,M2,500,HPG,BONCAT,A,1.159649792
MOBY,M2,500,HPG,BONCAT,A,0.364722633
MOBY,M2,500,HPG,BONCAT,A,1.355985004
MOBY,M2,500,HPG,BONCAT,A,5.492441434
MOBY,M2,500,HPG,BONCAT,A,1.801976975
MOBY,M2,500,HPG,BONCAT,A,3.226523082
